from,to,n
Gonzales County,Delta County,0
Gonzales County,Real County,0
Gonzales County,Gaines County,0
Gonzales County,Archer County,0
Gonzales County,Glasscock County,0
Gonzales County,Madison County,0
Gonzales County,Mitchell County,0
Gonzales County,Castro County,0
Gonzales County,Kleberg County,12
Gonzales County,Cottle County,0
Gonzales County,Kimble County,0
Gonzales County,Loving County,0
Gonzales County,Jones County,0
Gonzales County,Reagan County,0
Gonzales County,Hunt County,0
Gonzales County,Houston County,0
Gonzales County,Baylor County,0
Gonzales County,Leon County,0
Gonzales County,San Saba County,0
Gonzales County,Crosby County,0
Gonzales County,Howard County,0
Gonzales County,Upshur County,0
Gonzales County,Wilbarger County,0
Gonzales County,Waller County,0
Gonzales County,Kendall County,0
Gonzales County,Johnson County,0
Gonzales County,Cherokee County,0
Gonzales County,Pecos County,0
Gonzales County,Jefferson County,0
Gonzales County,Lavaca County,240
Gonzales County,Harrison County,11
Gonzales County,Jeff Davis County,0
Gonzales County,Midland County,0
Gonzales County,Tom Green County,0
Gonzales County,Bell County,0
Gonzales County,Wheeler County,0
Gonzales County,Runnels County,0
Gonzales County,Galveston County,0
Gonzales County,Bosque County,0
Gonzales County,Milam County,0
Gonzales County,Polk County,0
Gonzales County,Ward County,0
Gonzales County,Rusk County,0
Gonzales County,Val Verde County,0
Gonzales County,Fannin County,0
Gonzales County,Deaf Smith County,0
Gonzales County,Eastland County,0
Gonzales County,Lampasas County,0
Gonzales County,Newton County,0
Caldwell County,Gregg County,0
Caldwell County,Borden County,0
Caldwell County,Gonzales County,325
Caldwell County,Caldwell County,6696
Caldwell County,Willacy County,0
Caldwell County,Jim Wells County,0
Caldwell County,Kinney County,0
Caldwell County,Camp County,0
Caldwell County,Liberty County,0
Caldwell County,Haskell County,0
Caldwell County,San Jacinto County,0
Caldwell County,Wilson County,3
Caldwell County,DeWitt County,5
Caldwell County,Aransas County,0
Caldwell County,McMullen County,0
Caldwell County,Hutchinson County,0
Caldwell County,La Salle County,0
Caldwell County,Atascosa County,0
Caldwell County,Zapata County,0
Caldwell County,Brown County,0
Caldwell County,Mills County,0
Caldwell County,Donley County,0
Caldwell County,Guadalupe County,518
Caldwell County,Cooke County,0
